city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,1,part-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,194,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Public Sector,2,130,0.0
city_21,0.624,Male,0,none,Graduate,No Major,0-2,50-99,Pvt Ltd,1,20,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,1,4,0.0
Other,0.767,Male,0,full-time,High School,STEM,0-2,50-99,Pvt Ltd,1,80,0.0
city_102,0.804,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,72,0.0
city_102,0.804,Male,0,none,Primary School,STEM,0-2,>10000,Pvt Ltd,>4,11,0.0
city_103,0.92,Male,1,none,Graduate,STEM,3-4,50-99,Pvt Ltd,2,89,0.0
city_21,0.624,Male,1,none,Graduate,STEM,0-2,50-99,Pvt Ltd,2,112,0.0
city_114,0.926,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,1,264,0.0
Other,0.89,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,19,0.0
city_114,0.926,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,never,122,0.0
Other,0.925,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,34,0.0
city_16,0.91,Female,0,none,High School,STEM,3-4,50-99,Pvt Ltd,never,122,0.0
city_103,0.92,Male,1,none,Graduate,Humanities,>=10,100-500,Pvt Ltd,>4,10,0.0
city_103,0.92,Male,1,none,Graduate,Arts,3-4,50-99,Pvt Ltd,2,22,1.0
city_73,0.754,Male,0,full-time,Masters,STEM,>=10,50-99,Pvt Ltd,>4,10,1.0
Other,0.789,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,80,0.0
city_11,0.55,Male,1,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,16,0.0
city_16,0.91,Female,0,full-time,High School,STEM,0-2,50-99,Funded Startup,1,94,0.0
city_102,0.804,Male,1,none,Masters,Other,>=10,>10000,Public Sector,1,166,0.0
city_16,0.91,Male,0,none,High School,STEM,5-9,50-99,Pvt Ltd,never,111,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,24,0.0
city_114,0.926,Male,0,none,High School,STEM,5-9,<10,Funded Startup,2,182,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,4,218,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,5-9,1000-4999,Pvt Ltd,4,103,0.0
city_16,0.91,Male,1,none,Graduate,Arts,>=10,10-49,Pvt Ltd,1,50,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,1,72,0.0
city_160,0.92,Male,0,part-time,Graduate,STEM,3-4,10-49,Pvt Ltd,1,57,0.0
Other,0.866,Male,1,full-time,Masters,STEM,>=10,100-500,Pvt Ltd,2,19,0.0
city_16,0.91,Female,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,166,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,500-999,Pvt Ltd,4,28,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,10-49,NGO,2,13,0.0
city_103,0.92,Male,0,none,Masters,STEM,5-9,50-99,Pvt Ltd,2,12,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,2,4,0.0
Other,0.698,Male,0,full-time,High School,STEM,5-9,100-500,Pvt Ltd,1,46,0.0
Other,0.698,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,>4,112,1.0
Other,0.7959999999999999,Male,0,none,Primary School,STEM,5-9,50-99,Pvt Ltd,never,79,0.0
city_160,0.92,Male,1,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,26,0.0
city_103,0.92,Female,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,>4,108,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,2,70,0.0
Other,0.843,Male,1,none,Graduate,STEM,5-9,50-99,Funded Startup,4,134,1.0
city_103,0.92,Male,1,none,Graduate,STEM,3-4,100-500,NGO,1,89,0.0
city_16,0.91,Male,1,none,Masters,STEM,>=10,<10,Pvt Ltd,4,88,0.0
city_16,0.91,Male,0,part-time,Graduate,STEM,0-2,>10000,Public Sector,1,37,0.0
city_16,0.91,Male,1,none,Graduate,STEM,0-2,1000-4999,Pvt Ltd,1,60,0.0
Other,0.7959999999999999,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,2,26,0.0
city_100,0.887,Male,1,full-time,High School,STEM,>=10,500-999,Pvt Ltd,1,49,0.0
city_136,0.897,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,308,0.0
city_104,0.924,Male,1,part-time,Graduate,STEM,5-9,100-500,Pvt Ltd,1,94,0.0
city_114,0.926,Male,0,full-time,High School,STEM,0-2,>10000,Pvt Ltd,2,11,0.0
city_16,0.91,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,196,0.0
city_114,0.926,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,44,0.0
city_67,0.855,Male,1,none,Masters,STEM,>=10,50-99,Public Sector,3,46,0.0
city_103,0.92,Male,1,part-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,47,1.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,1000-4999,Public Sector,>4,7,0.0
city_21,0.624,Female,1,none,Graduate,STEM,5-9,1000-4999,Pvt Ltd,2,220,1.0
Other,0.848,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,3,58,0.0
city_21,0.624,Male,1,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,140,0.0
city_103,0.92,Male,0,full-time,Graduate,STEM,0-2,>10000,Public Sector,1,17,0.0
Other,0.743,Male,0,none,Masters,STEM,5-9,50-99,Pvt Ltd,never,79,0.0
city_114,0.926,Male,1,none,High School,STEM,>=10,10-49,Pvt Ltd,1,120,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,50,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Public Sector,>4,54,0.0
Other,0.84,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,4,69,0.0
city_16,0.91,Male,1,none,Masters,STEM,>=10,<10,Pvt Ltd,1,45,0.0
Other,0.949,Male,0,none,Graduate,STEM,3-4,<10,Funded Startup,>4,43,0.0
Other,0.7759999999999999,Male,1,none,Masters,STEM,>=10,50-99,Funded Startup,1,37,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,>4,117,0.0
city_136,0.897,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,86,1.0
city_16,0.91,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,14,0.0
city_75,0.939,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,32,1.0
city_21,0.624,Male,0,full-time,Masters,Other,3-4,50-99,Pvt Ltd,2,80,1.0
city_103,0.92,Male,1,none,Masters,STEM,5-9,<10,Funded Startup,2,60,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,>10000,Pvt Ltd,1,70,0.0
city_21,0.624,Male,1,none,Graduate,STEM,3-4,10-49,Pvt Ltd,1,32,0.0
city_103,0.92,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,16,0.0
city_16,0.91,Other,1,none,Masters,No Major,>=10,<10,Pvt Ltd,1,105,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,>4,300,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,never,28,0.0
city_21,0.624,Male,0,none,Graduate,No Major,3-4,50-99,Early Stage Startup,1,74,1.0
city_103,0.92,Female,1,none,Masters,STEM,3-4,50-99,Pvt Ltd,1,100,1.0
city_103,0.92,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,45,1.0
city_21,0.624,Male,0,none,Graduate,STEM,5-9,50-99,Pvt Ltd,never,17,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Early Stage Startup,2,67,0.0
Other,0.6659999999999999,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,1,39,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,1,106,0.0
city_104,0.924,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,78,0.0
Other,0.903,Male,0,part-time,Graduate,Humanities,>=10,50-99,Pvt Ltd,1,73,0.0
city_104,0.924,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,34,1.0
city_160,0.92,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,1,15,1.0
city_71,0.884,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,never,83,0.0
city_71,0.884,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,never,11,1.0
city_11,0.55,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,12,1.0
city_21,0.624,Male,1,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,34,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,28,0.0
Other,0.789,Male,0,none,Masters,STEM,>=10,50-99,Pvt Ltd,4,79,0.0
city_73,0.754,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,>4,74,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,218,0.0
city_114,0.926,Male,0,none,High School,STEM,3-4,100-500,Public Sector,2,65,0.0
city_160,0.92,Male,1,full-time,Graduate,STEM,5-9,>10000,Pvt Ltd,2,109,0.0
Other,0.555,Male,0,none,Graduate,STEM,0-2,50-99,NGO,never,42,0.0
city_104,0.924,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,15,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,1,25,0.0
city_103,0.92,Male,1,none,High School,STEM,>=10,50-99,Pvt Ltd,1,23,0.0
Other,0.647,Female,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,55,0.0
Other,0.8959999999999999,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,2,78,0.0
city_71,0.884,Male,1,full-time,High School,STEM,5-9,50-99,Pvt Ltd,never,74,0.0
city_21,0.624,Male,1,none,Graduate,STEM,0-2,>10000,Pvt Ltd,2,122,1.0
Other,0.895,Male,1,none,Phd,STEM,>=10,50-99,Pvt Ltd,1,22,0.0
city_21,0.624,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,>4,143,0.0
city_16,0.91,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,103,1.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,22,0.0
city_136,0.897,Male,1,full-time,Graduate,STEM,3-4,50-99,Funded Startup,2,50,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,3,280,1.0
Other,0.8959999999999999,Male,1,none,High School,STEM,>=10,50-99,Pvt Ltd,1,14,0.0
Other,0.563,Male,0,full-time,Graduate,STEM,0-2,10-49,Pvt Ltd,1,20,1.0
city_104,0.924,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,43,0.0
city_103,0.92,Male,1,none,Graduate,STEM,0-2,<10,Pvt Ltd,1,18,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,70,1.0
Other,0.647,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,30,1.0
city_103,0.92,Male,1,none,Masters,STEM,5-9,>10000,Pvt Ltd,1,174,0.0
Other,0.794,Male,0,none,Graduate,STEM,0-2,10-49,Pvt Ltd,1,55,0.0
Other,0.903,Male,0,none,Graduate,STEM,5-9,50-99,Funded Startup,1,90,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,0-2,<10,Early Stage Startup,1,85,1.0
city_103,0.92,Female,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,80,0.0
city_114,0.926,Male,1,none,High School,STEM,>=10,<10,Pvt Ltd,never,66,0.0
Other,0.698,Male,1,none,Graduate,Humanities,3-4,<10,Funded Startup,1,80,1.0
Other,0.743,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,3,26,0.0
Other,0.923,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,1,37,0.0
city_160,0.92,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,never,212,0.0
Other,0.698,Male,1,full-time,Masters,STEM,3-4,50-99,Public Sector,2,45,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,500-999,Pvt Ltd,1,78,1.0
city_21,0.624,Male,0,none,Graduate,STEM,0-2,10-49,Pvt Ltd,1,29,0.0
city_114,0.926,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,2,77,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,22,0.0
Other,0.903,Male,1,none,Graduate,Arts,5-9,100-500,Pvt Ltd,never,20,0.0
Other,0.913,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,1,15,0.0
city_21,0.624,Female,1,none,Graduate,STEM,5-9,500-999,Pvt Ltd,>4,36,1.0
city_114,0.926,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,1,102,1.0
Other,0.698,Male,1,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,20,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,1000-4999,Pvt Ltd,1,15,1.0
city_103,0.92,Female,1,none,Masters,Arts,0-2,1000-4999,Pvt Ltd,1,73,0.0
city_11,0.55,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,1,45,1.0
Other,0.939,Male,1,none,Masters,STEM,>=10,1000-4999,Pvt Ltd,1,22,0.0
city_21,0.624,Male,0,full-time,High School,STEM,0-2,50-99,Pvt Ltd,never,166,1.0
city_103,0.92,Male,1,none,Graduate,Humanities,>=10,100-500,Pvt Ltd,1,23,0.0
city_160,0.92,Male,1,none,Masters,STEM,>=10,>10000,Public Sector,3,55,0.0
city_136,0.897,Male,1,none,Masters,STEM,5-9,50-99,Pvt Ltd,1,54,0.0
Other,0.698,Male,1,full-time,Graduate,STEM,5-9,500-999,Pvt Ltd,1,166,0.0
city_16,0.91,Male,1,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,55,1.0
Other,0.913,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,2,18,0.0
city_73,0.754,Male,0,full-time,High School,STEM,0-2,50-99,Pvt Ltd,1,63,0.0
Other,0.698,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,>4,62,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,3-4,10-49,Pvt Ltd,4,109,1.0
Other,0.915,Male,1,none,Masters,Humanities,>=10,50-99,Pvt Ltd,4,60,0.0
city_67,0.855,Male,1,part-time,Graduate,STEM,5-9,100-500,Pvt Ltd,1,98,0.0
city_73,0.754,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,82,0.0
city_114,0.926,Male,1,none,Masters,STEM,3-4,100-500,Funded Startup,1,19,0.0
city_16,0.91,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,>4,48,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,>4,282,0.0
Other,0.89,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,1,4,0.0
city_21,0.624,Male,0,none,Graduate,Other,3-4,>10000,Pvt Ltd,2,102,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,2,23,0.0
city_103,0.92,Male,1,none,Graduate,No Major,>=10,50-99,Pvt Ltd,>4,110,1.0
Other,0.8270000000000001,Male,0,full-time,High School,STEM,>=10,50-99,Pvt Ltd,2,7,0.0
city_103,0.92,Male,1,none,Graduate,Humanities,>=10,50-99,Pvt Ltd,never,17,1.0
city_67,0.855,Male,0,full-time,High School,STEM,0-2,>10000,Pvt Ltd,1,7,0.0
city_21,0.624,Male,1,none,Graduate,STEM,>=10,<10,Early Stage Startup,4,103,1.0
city_102,0.804,Male,1,full-time,High School,STEM,5-9,100-500,Pvt Ltd,1,79,0.0
city_67,0.855,Female,1,part-time,Graduate,STEM,5-9,10-49,Early Stage Startup,1,48,0.0
Other,0.899,Male,1,part-time,Graduate,STEM,0-2,500-999,Pvt Ltd,1,52,0.0
city_16,0.91,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,2,99,0.0
city_75,0.939,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,9,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,52,0.0
city_100,0.887,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,4,13,0.0
city_21,0.624,Male,1,none,Graduate,STEM,>=10,10-49,Early Stage Startup,1,24,0.0
city_136,0.897,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,90,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,174,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,3,54,0.0
Other,0.866,Male,1,full-time,Graduate,STEM,5-9,<10,Pvt Ltd,3,44,0.0
city_114,0.926,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,2,21,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,30,1.0
Other,0.878,Male,0,none,Primary School,STEM,3-4,10-49,Pvt Ltd,3,88,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,51,0.0
city_103,0.92,Female,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,1,21,1.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,<10,Pvt Ltd,never,102,1.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,2,18,1.0
city_103,0.92,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,never,12,0.0
city_104,0.924,Male,1,none,Masters,Business Degree,>=10,1000-4999,Pvt Ltd,2,70,0.0
city_160,0.92,Male,0,full-time,High School,STEM,0-2,50-99,Pvt Ltd,never,67,0.0
city_21,0.624,Female,1,none,Graduate,STEM,3-4,100-500,Pvt Ltd,1,114,1.0
city_21,0.624,Male,0,none,Graduate,STEM,3-4,100-500,Pvt Ltd,1,64,1.0
city_16,0.91,Male,0,none,High School,STEM,>=10,5000-9999,Pvt Ltd,>4,89,0.0
city_103,0.92,Female,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,>4,20,1.0
city_21,0.624,Male,1,none,Graduate,STEM,0-2,5000-9999,Pvt Ltd,2,16,0.0
Other,0.923,Male,1,none,Masters,STEM,5-9,>10000,Pvt Ltd,4,170,0.0
Other,0.843,Male,1,none,Graduate,STEM,5-9,<10,Pvt Ltd,1,107,0.0
Other,0.913,Female,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,1,9,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,never,38,1.0
Other,0.848,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,>4,17,1.0
Other,0.579,Male,1,none,Graduate,STEM,5-9,<10,Pvt Ltd,1,72,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,5000-9999,NGO,>4,58,0.0
Other,0.89,Male,0,part-time,Graduate,No Major,3-4,<10,Pvt Ltd,1,24,0.0
city_114,0.926,Male,1,none,Phd,STEM,>=10,100-500,Public Sector,2,28,0.0
city_16,0.91,Female,1,none,Masters,Business Degree,5-9,1000-4999,Public Sector,4,74,0.0
Other,0.4479999999999999,Male,0,none,Graduate,STEM,0-2,50-99,Pvt Ltd,never,73,1.0
Other,0.6659999999999999,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,160,0.0
city_21,0.624,Male,1,none,Masters,STEM,5-9,100-500,Pvt Ltd,1,26,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,3,1.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,50-99,Funded Startup,1,17,1.0
Other,0.698,Male,1,none,Graduate,Business Degree,>=10,<10,Pvt Ltd,1,278,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,3-4,5000-9999,Pvt Ltd,2,14,1.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,10-49,Funded Startup,1,20,0.0
city_21,0.624,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,2,62,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,2,17,1.0
city_103,0.92,Male,1,none,Masters,STEM,5-9,50-99,Pvt Ltd,>4,60,0.0
city_102,0.804,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,1,14,0.0
Other,0.802,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,40,0.0
city_21,0.624,Male,1,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,65,0.0
Other,0.6890000000000001,Male,1,full-time,Masters,STEM,3-4,10-49,Public Sector,>4,56,1.0
city_21,0.624,Male,1,full-time,Masters,STEM,0-2,50-99,Pvt Ltd,1,8,1.0
city_21,0.624,Male,0,none,Masters,STEM,5-9,50-99,Public Sector,2,141,1.0
city_103,0.92,Male,1,none,Graduate,Other,>=10,50-99,Pvt Ltd,1,9,1.0
city_102,0.804,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,18,1.0
city_102,0.804,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,128,0.0
city_136,0.897,Male,0,none,Graduate,Business Degree,>=10,50-99,Pvt Ltd,>4,51,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,never,18,1.0
city_21,0.624,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,45,1.0
city_160,0.92,Female,1,part-time,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,39,0.0
city_103,0.92,Male,0,none,Graduate,No Major,>=10,50-99,Pvt Ltd,1,64,1.0
city_21,0.624,Male,0,full-time,Masters,STEM,5-9,50-99,Pvt Ltd,never,15,1.0
city_114,0.926,Other,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,139,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,3-4,50-99,Early Stage Startup,1,244,1.0
city_71,0.884,Male,1,none,Phd,STEM,>=10,10-49,Funded Startup,>4,58,0.0
city_16,0.91,Male,0,none,High School,STEM,3-4,50-99,Pvt Ltd,1,147,0.0
Other,0.479,Male,1,full-time,Graduate,STEM,>=10,<10,Public Sector,>4,19,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,>4,242,0.0
city_21,0.624,Male,0,none,Masters,STEM,5-9,50-99,Pvt Ltd,1,11,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,>=10,50-99,Pvt Ltd,1,20,1.0
city_103,0.92,Female,1,none,Graduate,STEM,0-2,50-99,Early Stage Startup,1,124,0.0
Other,0.866,Male,1,none,Masters,STEM,5-9,1000-4999,Pvt Ltd,1,72,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,>4,47,0.0
Other,0.925,Female,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,162,1.0
city_114,0.926,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,>4,59,0.0
Other,0.8270000000000001,Male,1,none,Phd,STEM,>=10,50-99,Pvt Ltd,>4,96,0.0
city_160,0.92,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,1,258,1.0
Other,0.698,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,17,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,10-49,Funded Startup,4,12,0.0
city_114,0.926,Male,1,none,High School,STEM,5-9,5000-9999,Pvt Ltd,1,64,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,4,96,0.0
city_73,0.754,Male,1,none,Masters,STEM,>=10,1000-4999,Public Sector,1,47,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,1000-4999,Pvt Ltd,1,36,0.0
city_114,0.926,Male,0,full-time,Graduate,STEM,5-9,5000-9999,Public Sector,4,31,0.0
Other,0.682,Male,1,none,Graduate,STEM,>=10,50-99,Early Stage Startup,>4,25,1.0
city_136,0.897,Male,1,none,Masters,STEM,5-9,>10000,Pvt Ltd,2,24,1.0
city_103,0.92,Male,1,part-time,Graduate,STEM,>=10,500-999,Public Sector,3,44,1.0
Other,0.7959999999999999,Male,0,none,Graduate,Humanities,5-9,100-500,Pvt Ltd,1,114,0.0
city_160,0.92,Male,0,none,Graduate,Arts,>=10,100-500,Pvt Ltd,1,70,0.0
city_136,0.897,Male,0,none,High School,STEM,5-9,50-99,Pvt Ltd,1,18,0.0
Other,0.836,Other,0,none,Primary School,STEM,0-2,50-99,Pvt Ltd,never,8,0.0
Other,0.843,Male,0,none,Graduate,STEM,>=10,10-49,Public Sector,4,122,0.0
city_103,0.92,Male,0,none,Graduate,STEM,5-9,50-99,Pvt Ltd,3,5,0.0
city_75,0.939,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,1,18,0.0
city_114,0.926,Male,0,full-time,Masters,Other,5-9,>10000,Public Sector,4,134,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Funded Startup,1,19,0.0
city_21,0.624,Male,1,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,56,1.0
city_71,0.884,Male,1,none,Graduate,STEM,3-4,1000-4999,Pvt Ltd,4,11,0.0
city_103,0.92,Female,0,none,Masters,STEM,>=10,50-99,Pvt Ltd,never,72,0.0
Other,0.899,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,2,81,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,500-999,Funded Startup,4,52,0.0
Other,0.856,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,124,0.0
Other,0.6659999999999999,Male,1,none,High School,STEM,5-9,10-49,Early Stage Startup,1,19,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,29,1.0
city_16,0.91,Male,0,full-time,Masters,STEM,>=10,5000-9999,NGO,>4,90,0.0
Other,0.8270000000000001,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,77,1.0
Other,0.698,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,130,0.0
city_103,0.92,Male,1,none,Graduate,Other,>=10,50-99,Pvt Ltd,1,24,1.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,3,56,1.0
Other,0.843,Male,1,none,Masters,STEM,>=10,50-99,Public Sector,1,4,0.0
Other,0.743,Male,1,none,Primary School,STEM,3-4,<10,Other,1,4,0.0
Other,0.725,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,61,0.0
city_136,0.897,Male,1,none,Phd,STEM,>=10,100-500,Pvt Ltd,2,200,0.0
city_103,0.92,Male,1,part-time,Graduate,STEM,5-9,50-99,Pvt Ltd,4,162,0.0
